ID,Genero,Casado,Edad,Graduado,Profesion,Experiencia_laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos_anuales_brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno,Comunidad
CLI10,0,0.8330625711453856,1.0351760558854202,2,0.2680257897290829,-0.7757584053188572,-0.15104790519001463,0.15218606375307542,-1.0349566695239325,1,1.0527996938781172,Segovia,-0.09941706652584613,1.2107324048461163,1.534894335489584,-0.6920723561742368,,-0.5418362274733929
CLI100,1,0.8330625711453856,0.8724089883614183,2,0.6233983889698766,-0.7757584053188572,1.4650151279617671,-0.493737975883898,-0.8721869920307997,1,1.2313850207237498,Alicante,-0.25535430726877817,0.16444116979956172,1.534894335489584,0.4165195139374189,1.132443279954197,0.3190470328210359
CLI1000,1,0.8330625711453856,0.9266646775360855,2,-1.153464607234092,-0.7757584053188572,1.4650151279617671,0.15218606375307542,-0.9264435511951774,1,-0.5459507542538348,Toledo,0.056051894214854854,-0.5330863202314747,-0.6515106459631506,0.7323002284540723,-0.47622875918396984,-0.3266154123997857
CLI10000,1,-1.0506106123233392,-0.8095173760532669,1,-0.08734680951171084,0.4700203623844525,-0.15104790519001463,0.7981101033900488,0.8097663420649055,3,-0.8883427106508622,Leon,0.00407281396721085,-0.5330863202314747,-0.6515106459631506,1.6527674175770835,0.3281072603851136,-0.5418362274733929
CLI10001,1,0.8330625711453856,0.22134071826541113,1,1.3341435874514642,-0.7757584053188572,1.4650151279617671,-0.493737975883898,-0.22110828205826874,1,-0.7411762173658796,LLeida,-0.11767998661285618,-0.5330863202314747,1.534894335489584,-0.8600408213426695,,-0.11139459732617851
CLI10002,1,0.8330625711453856,1.5234772584574254,1,-1.153464607234092,-0.7757584053188572,-0.15104790519001463,-1.1396620155208714,-1.523265702003331,1,0.914066083209503,Ciudad Real,-0.6739966292633164,2.6057873849081887,-0.6515106459631506,0.40308203672394427,1.132443279954197,-0.3266154123997857
CLI10003,1,0.8330625711453856,-0.15844910595725972,2,1.3341435874514642,-0.7757584053188572,-0.15104790519001463,1.4440341430270223,0.1586876320923744,1,1.5989910141075105,Ávila,-0.3082699475208842,-0.5330863202314747,-0.6515106459631506,0.967456079689878,-0.47622875918396984,-0.5418362274733929
CLI10004,1,0.8330625711453856,-0.6467503085292651,1,-0.4427194087525046,0.4700203623844525,-0.15104790519001463,2.0899581826639957,0.6469966645717727,3,-1.0499776614013865,Guipúzcoa,-0.36212214777745233,-0.5330863202314747,-0.6515106459631506,-1.1691027972525856,,2.0408135534098935
CLI10005,1,-1.0506106123233392,-0.9722844435772686,2,-0.08734680951171084,1.7157991300877624,-0.15104790519001463,1.4440341430270223,0.9725360195580383,3,-0.9802301071864071,Vizcaya,0.03638413412115172,-0.5330863202314747,-0.6515106459631506,-1.5319146820164002,,2.0408135534098935
CLI10006,1,0.8330625711453856,-0.3212161734812615,2,0.2680257897290829,-0.7757584053188572,-0.15104790519001463,-0.493737975883898,0.32145730958550717,3,-0.2772548589824607,Orense,-0.2759586273669433,0.16444116979956172,-0.6515106459631506,0.7054252740271231,-0.47622875918396984,0.9647094780418575
